,Title,Album details,Certifications,First week,Total,Album
1,Troublemaker,2010,RIAJ: 2× Platinum,"542,334","701,686",Boku no Miteiru Fūkei
2,Monster,2010,RIAJ: 2× Platinum,"543,269","707,197",Boku no Miteiru Fūkei
3,To Be Free,2010,RIAJ: 2× Platinum,"425,978","519,781",Beautiful World
4,Love Rainbow,2010,RIAJ: 2× Platinum,"528,844","627,523",Beautiful World
5,Dear Snow,2010,RIAJ: 2× Platinum,"500,730","598,790",Beautiful World
6,Hatenai Sora,2010,RIAJ: 2× Platinum,"572,050","693,869",Beautiful World
7,Lotus,2011,RIAJ: 2× Platinum,"541,424","625,935",Beautiful World
8,Meikyū Love Song,2011,RIAJ: 2× Platinum,"530,469","647,391",Popcorn
9,Wild at Heart,2012,RIAJ: 2× Platinum,"550,014","649,881",Popcorn
10,Face Down,2012,RIAJ: 2× Platinum,"526,106","619,940",Popcorn
11,Your Eyes,2012,RIAJ: 2× Platinum,"477,820","559,412",Popcorn
12,Calling,2013,RIAJ: 3× Platinum,"756,410","881,192",Love
13,Breathless,2013,RIAJ: 3× Platinum,"756,410","881,192",Love
14,Endless Game,2013,RIAJ: 2× Platinum,"477,869","557,794",Love
15,Bittersweet,2014,RIAJ: 2× Platinum,"511,696","591,847",The Digitalian
16,Guts!,2014,RIAJ: 2× Platinum,"501,493","609,184",The Digitalian
17,Daremo Shiranai,2014,RIAJ: 2× Platinum,"461,622","525,055",The Digitalian
18,Sakura,2015,RIAJ: 2× Platinum,"465,381","521,067",Japonism
19,"Aozora no Shita, Kimi no Tonari",2015,RIAJ: 2× Platinum,"501,010","571,597",Japonism
20,Ai o Sakebe,2015,RIAJ: 2× Platinum,"462,550","530,330",Are You Happy?
21,Fukkatsu Love,2016,RIAJ: 2× Platinum,"485,006","534,954",Are You Happy?
22,I Seek,2016,RIAJ: 3× Platinum,"737,951","829,305",Are You Happy?
23,Daylight,2016,RIAJ: 3× Platinum,"737,951","829,305",Are You Happy?
24,Power of the Paradise,2016,RIAJ: 2× Platinum,"422,418","475,880",Untitled
25,I'll Be There,2017,RIAJ: 2× Platinum,"393,555","438,613",Untitled
26,Tsunagu,2017,RIAJ: Platinum,"389,311","434,893",Untitled
27,Doors (Yūki no Kiseki),2017,RIAJ: 2× Platinum,"571,386","640,605",5x20 All the Best!! 1999–2019
28,Find the Answer,2018,RIAJ: Platinum,"395,205","440,307",5x20 All the Best!! 1999–2019
29,Natsu Hayate,2018,RIAJ: 2× Platinum,"470,780","541,491",5x20 All the Best!! 1999–2019
30,Kimi no Uta,2018,RIAJ: Platinum,"373,000[160]","428,748",5x20 All the Best!! 1999–2019
31,Brave,2019,RIAJ: 3× Platinum,"667,615[161]","713,159",This Is Arashi
32,Turning Up,2019,,"28,000[163]","130,071[164]",This Is Arashi
34,In the Summer,2020,,"JPN: 52,904 (DL)",,This Is Arashi
35,Kite,2020,RIAJ: Million,"JPN: 910,860 (CD)
JPN: 12,829 (DL)","JPN: 1,164,965 (CD)
JPN: 151,921 (DL)",This Is Arashi
36,Whenever You Call,2020,,"JPN: 61,054 (DL)","JPN: 94,289 (DL)",This Is Arashi
37,Party Starters,2020,,"JPN: 40,864 (DL)",,This Is Arashi
